Feature,MeanImportance,StdImportance
passenger_count,0.004750513355334662,0.0007617184522989513
is weekend,0.006491303115685881,0.0007645459915001316
PULocationID,0.11228362589836133,0.0022496404581523704
day of week,0.11724153057328876,0.0028039599433192556
DOLocationID,0.17527528327683617,0.00227035079561525
hour,0.3494339343333245,0.0036889984939681673
trip_distance,4.952161454386433,0.02360469932710659
