PULocationID,avg_actual_fare,avg_pred_fare,mean_residual,mae,median_ae,n_trips,abs_mean_residual,support_group
202,17.0,5.7124805,11.287519454956055,11.287519454956055,11.287519454956055,1,11.287519454956055,0-200
232,15.658153846153844,15.315993,0.3421604285606971,1.5517349777221678,1.0906955718994134,325,0.3421604285606971,200-500
24,13.63085194375517,13.495379,0.13547203239081215,1.2099841917714764,0.78851318359375,1209,0.13547203239081215,1000-5000
163,12.688372137771792,12.58392,0.10445272161185142,1.4948183076152761,1.111815261840821,15591,0.10445272161185142,5000+
100,12.50968591691996,12.424454,0.08523286034874886,1.4449510211132943,1.0677518844604492,7896,0.08523286034874886,5000+
113,12.14650744248985,12.062978,0.0835296263636691,1.1736444316755612,0.8618395328521733,7390,0.0835296263636691,5000+
144,14.043336770468137,13.960432,0.08290494786658026,1.2662713336885578,0.901002120971679,4849,0.08290494786658026,1000-5000
41,12.582783505154639,12.500546,0.08223670025461725,1.1349947851711941,0.7986538410186763,970,0.08223670025461725,500-1000
114,12.967040010529088,12.892107,0.07493322751245303,1.1492298131868945,0.8369391441345213,7598,0.07493322751245303,5000+
125,13.404904430929626,13.334316,0.07058858750904261,1.3549575536340137,0.9529252052307129,2302,0.07058858750904261,1000-5000
68,13.640062766034196,13.578232,0.06183025231033545,1.5476772418888038,1.1392723083496108,13861,0.06183025231033545,5000+
4,13.222999999999999,13.161611,0.061389909050681424,1.1335285395188766,0.8232152938842772,550,0.061389909050681424,500-1000
186,13.658304131089286,13.59827,0.0600335305055163,1.7004300257430178,1.297225379943848,20261,0.0600335305055163,5000+
230,13.020704577409779,12.962025,0.05867973994905798,1.5263444440536051,1.1545888900756829,19203,0.05867973994905798,5000+
249,12.564178863248632,12.515086,0.04909195353722161,1.1958104634342774,0.8800170898437507,11137,0.04909195353722161,5000+
