PULocationID,avg_actual_fare,avg_pred_fare,mean_residual,mae,median_ae,n_trips,abs_mean_residual,support_group
202,17.0,5.7124805,11.287519454956055,11.287519454956055,11.287519454956055,1,11.287519454956055,0-200
194,17.7,21.072147,-3.3721473693847663,3.3721473693847663,3.3721473693847663,1,3.3721473693847663,0-200
153,16.65,17.21616,-0.5661588668823239,2.8610109329223636,2.8610109329223636,2,0.5661588668823239,0-200
128,8.600000000000001,10.81204,-2.2120403289794917,2.2120403289794917,2.2120403289794917,2,2.2120403289794917,0-200
244,17.467267441860464,17.697441,-0.2301748374451038,1.8346380476618922,1.1967594146728526,172,0.2301748374451038,0-200
12,20.78965517241379,21.033417,-0.24376171046289913,1.7968185128836796,1.39300537109375,145,0.24376171046289913,0-200
186,13.658304131089286,13.59827,0.0600335305055163,1.7004300257430178,1.297225379943848,20261,0.0600335305055163,5000+
127,14.666666666666666,15.849954,-1.1832873026529949,1.6786833445231117,0.8437761306762699,3,1.1832873026529949,0-200
88,20.357142857142858,20.579237,-0.2220937343165693,1.6682687939872103,1.2666563034057603,1078,0.2220937343165693,1000-5000
209,17.28765625,17.664904,-0.37724666357040404,1.6146385264396668,1.23434247970581,640,0.37724666357040404,500-1000
116,15.697330097087379,15.7618265,-0.06449596210590845,1.58883600003511,0.9715325355529782,206,0.06449596210590845,200-500
243,20.133333333333333,20.90499,-0.7716575667971652,1.5851792607988624,1.3384778976440437,21,0.7716575667971652,0-200
45,16.268186046511627,16.26233,0.005856510990349763,1.579901713910953,1.0606161117553707,645,0.005856510990349763,500-1000
224,12.590445859872613,13.260844,-0.670397792702774,1.5725677690688213,1.2425846099853501,471,0.670397792702774,200-500
261,18.25303489439853,18.411566,-0.15853095170223355,1.5612732149287032,1.1799371719360359,2178,0.15853095170223355,1000-5000
