fare_bin,mae,median_ae,n
0-10,0.9130837895092403,0.747844314575195,206823
10-20,1.4513410870001349,1.1484681129455563,212318
20-30,2.3308257101103758,1.7582641601562514,44751
30-40,3.1464182903623277,2.175711822509765,7767
40-60,9.327196957202668,8.206756591796875,329
60+,,,0
