PULocationID,avg_actual_fare,avg_pred_fare,mean_residual,mae,median_ae,n_trips,abs_mean_residual,support_group
194,17.7,21.072147,-3.3721473693847663,3.3721473693847663,3.3721473693847663,1,3.3721473693847663,0-200
128,8.600000000000001,10.81204,-2.2120403289794917,2.2120403289794917,2.2120403289794917,2,2.2120403289794917,0-200
127,14.666666666666666,15.849954,-1.1832873026529949,1.6786833445231117,0.8437761306762699,3,1.1832873026529949,0-200
243,20.133333333333333,20.90499,-0.7716575667971652,1.5851792607988624,1.3384778976440437,21,0.7716575667971652,0-200
224,12.590445859872613,13.260844,-0.670397792702774,1.5725677690688213,1.2425846099853501,471,0.670397792702774,200-500
153,16.65,17.21616,-0.5661588668823239,2.8610109329223636,2.8610109329223636,2,0.5661588668823239,0-200
209,17.28765625,17.664904,-0.37724666357040404,1.6146385264396668,1.23434247970581,640,0.37724666357040404,500-1000
166,14.109634551495017,14.375492,-0.26585732798583145,1.3060191636748602,0.9447441101074219,2107,0.26585732798583145,1000-5000
12,20.78965517241379,21.033417,-0.24376171046289913,1.7968185128836796,1.39300537109375,145,0.24376171046289913,0-200
244,17.467267441860464,17.697441,-0.2301748374451038,1.8346380476618922,1.1967594146728526,172,0.2301748374451038,0-200
88,20.357142857142858,20.579237,-0.2220937343165693,1.6682687939872103,1.2666563034057603,1078,0.2220937343165693,1000-5000
50,12.086450829623633,12.297946,-0.21149520404326294,1.3037978414483806,0.9385991096496582,2471,0.21149520404326294,1000-5000
74,12.810709318497914,12.972643,-0.16193344211711005,1.520338005681363,1.1062209129333498,719,0.16193344211711005,500-1000
261,18.25303489439853,18.411566,-0.15853095170223355,1.5612732149287032,1.1799371719360359,2178,0.15853095170223355,1000-5000
231,14.881780978883615,15.026569,-0.14478791721285922,1.3920342132529644,1.0167350769042969,6109,0.14478791721285922,5000+
