PULocationID,avg_actual_fare,avg_pred_fare,mean_residual,mae,median_ae,n_trips,abs_mean_residual,support_group
4,13.222999999999999,13.161611,0.061389909050681424,1.1335285395188766,0.8232152938842772,550,0.061389909050681424,500-1000
12,20.78965517241379,21.033417,-0.24376171046289913,1.7968185128836796,1.39300537109375,145,0.24376171046289913,0-200
13,18.103949386503068,18.20465,-0.10070212812511468,1.3249031696217193,1.0146834373474123,2608,0.10070212812511468,1000-5000
24,13.63085194375517,13.495379,0.13547203239081215,1.2099841917714764,0.78851318359375,1209,0.13547203239081215,1000-5000
41,12.582783505154639,12.500546,0.08223670025461725,1.1349947851711941,0.7986538410186763,970,0.08223670025461725,500-1000
42,11.707883817427385,11.762481,-0.05459716567360014,1.123835799110381,0.798779773712158,241,0.05459716567360014,200-500
43,13.489327780384796,13.463566,0.025761937746023814,1.4924207980148336,1.06265058517456,8524,0.025761937746023814,5000+
45,16.268186046511627,16.26233,0.005856510990349763,1.579901713910953,1.0606161117553707,645,0.005856510990349763,500-1000
48,12.020116611321336,12.02536,-0.005244140138183454,1.2520778283366587,0.9176735877990723,12949,0.005244140138183454,5000+
50,12.086450829623633,12.297946,-0.21149520404326294,1.3037978414483806,0.9385991096496582,2471,0.21149520404326294,1000-5000
68,13.640062766034196,13.578232,0.06183025231033545,1.5476772418888038,1.1392723083496108,13861,0.06183025231033545,5000+
74,12.810709318497914,12.972643,-0.16193344211711005,1.520338005681363,1.1062209129333498,719,0.16193344211711005,500-1000
75,12.357049965776866,12.353229,0.0038213819775330246,1.3696162801340457,1.0635451316833495,2922,0.0038213819775330246,1000-5000
79,12.572805820827648,12.578691,-0.005884830536436856,1.1650585817620667,0.8813701629638668,10995,0.005884830536436856,5000+
87,17.97118330692023,18.104637,-0.13345360002754486,1.4739495222995473,1.1080261230468746,1893,0.13345360002754486,1000-5000
88,20.357142857142858,20.579237,-0.2220937343165693,1.6682687939872103,1.2666563034057603,1078,0.2220937343165693,1000-5000
90,11.611081351689611,11.6238365,-0.012754890791614895,1.250130553181091,0.9004401206970214,7990,0.012754890791614895,5000+
100,12.50968591691996,12.424454,0.08523286034874886,1.4449510211132943,1.0677518844604492,7896,0.08523286034874886,5000+
107,11.915954807692307,11.985313,-0.06935807508413606,1.247430208318967,0.930167865753174,10400,0.06935807508413606,5000+
113,12.14650744248985,12.062978,0.0835296263636691,1.1736444316755612,0.8618395328521733,7390,0.0835296263636691,5000+
114,12.967040010529088,12.892107,0.07493322751245303,1.1492298131868945,0.8369391441345213,7598,0.07493322751245303,5000+
116,15.697330097087379,15.7618265,-0.06449596210590845,1.58883600003511,0.9715325355529782,206,0.06449596210590845,200-500
125,13.404904430929626,13.334316,0.07058858750904261,1.3549575536340137,0.9529252052307129,2302,0.07058858750904261,1000-5000
127,14.666666666666666,15.849954,-1.1832873026529949,1.6786833445231117,0.8437761306762699,3,1.1832873026529949,0-200
128,8.600000000000001,10.81204,-2.2120403289794917,2.2120403289794917,2.2120403289794917,2,2.2120403289794917,0-200
137,11.832992082489413,11.95794,-0.1249476601234173,1.3807640076561585,1.0244155883789077,5431,0.1249476601234173,5000+
140,12.944893599334996,12.902435,0.04245767538446442,1.4652178304526378,1.0486350536346434,12030,0.04245767538446442,5000+
141,11.08731097469681,11.105867,-0.01855579459536911,1.2014470747506338,0.8677555561065668,13358,0.01855579459536911,5000+
142,12.100686669892994,12.07296,0.027726711299449293,1.18437582894949,0.8756771087646484,18597,0.027726711299449293,5000+
143,11.819470712773464,11.932148,-0.11267783385897995,1.1946943812733732,0.8577749252319329,5668,0.11267783385897995,5000+
144,14.043336770468137,13.960432,0.08290494786658026,1.2662713336885578,0.901002120971679,4849,0.08290494786658026,1000-5000
148,13.867304625199361,13.855373,0.011931299994871336,1.1950201479550455,0.888280296325684,4389,0.011931299994871336,1000-5000
151,12.734797701699785,12.8245735,-0.0897751362494427,1.2077011185112483,0.8640974998474125,4177,0.0897751362494427,1000-5000
152,14.413197969543148,14.41436,-0.0011618178508002567,1.3337161102875839,0.9702524185180668,197,0.0011618178508002567,0-200
153,16.65,17.21616,-0.5661588668823239,2.8610109329223636,2.8610109329223636,2,0.5661588668823239,0-200
158,13.888822721026111,13.888698,0.00012481722654795845,1.3448752864413014,1.0167871475219723,4366,0.00012481722654795845,1000-5000
161,12.751852493457669,12.715776,0.03607644693335899,1.3964188990333368,1.063989067077637,27131,0.03607644693335899,5000+
162,12.670847708482189,12.723427,-0.05257891460767969,1.4687605813246327,1.1278802871704103,19594,0.05257891460767969,5000+
163,12.688372137771792,12.58392,0.10445272161185142,1.4948183076152761,1.111815261840821,15591,0.10445272161185142,5000+
164,12.098888790429774,12.128637,-0.029747830256139685,1.3416920628655415,0.9879173278808597,11285,0.029747830256139685,5000+
166,14.109634551495017,14.375492,-0.26585732798583145,1.3060191636748602,0.9447441101074219,2107,0.26585732798583145,1000-5000
170,12.392388730093916,12.439688,-0.0472987315851733,1.4456561235358023,1.0894804477691649,14694,0.0472987315851733,5000+
186,13.658304131089286,13.59827,0.0600335305055163,1.7004300257430178,1.297225379943848,20261,0.0600335305055163,5000+
194,17.7,21.072147,-3.3721473693847663,3.3721473693847663,3.3721473693847663,1,3.3721473693847663,0-200
202,17.0,5.7124805,11.287519454956055,11.287519454956055,11.287519454956055,1,11.287519454956055,0-200
209,17.28765625,17.664904,-0.37724666357040404,1.6146385264396668,1.23434247970581,640,0.37724666357040404,500-1000
211,13.83672575335528,13.910746,-0.07402026149646396,1.306772436333717,0.9671739578247074,3949,0.07402026149646396,1000-5000
224,12.590445859872613,13.260844,-0.670397792702774,1.5725677690688213,1.2425846099853501,471,0.670397792702774,200-500
229,11.848669923995656,11.926221,-0.07755051422843973,1.4697404448967932,1.1346120834350577,9210,0.07755051422843973,5000+
230,13.020704577409779,12.962025,0.05867973994905798,1.5263444440536051,1.1545888900756829,19203,0.05867973994905798,5000+
231,14.881780978883615,15.026569,-0.14478791721285922,1.3920342132529644,1.0167350769042969,6109,0.14478791721285922,5000+
232,15.658153846153844,15.315993,0.3421604285606971,1.5517349777221678,1.0906955718994134,325,0.3421604285606971,200-500
233,12.270200779727094,12.251632,0.018569199547200647,1.4925551457191304,1.1348803520202635,5130,0.018569199547200647,5000+
234,12.100838526144676,12.087868,0.012971125365401721,1.2268906670765192,0.89626121520996,14764,0.012971125365401721,5000+
236,11.670040380406068,11.697987,-0.02794632818898809,1.1983046772064503,0.8701004981994638,26498,0.02794632818898809,5000+
237,11.195808445981347,11.169151,0.026657160357202444,1.2197666784924945,0.9122500419616699,28629,0.026657160357202444,5000+
238,12.091276615022199,12.109662,-0.018385172869250354,1.1461021249851824,0.8031038284301761,11037,0.018385172869250354,5000+
239,12.013501459205685,11.986597,0.02690394353751619,1.120049227731601,0.8017485618591307,15762,0.02690394353751619,5000+
243,20.133333333333333,20.90499,-0.7716575667971652,1.5851792607988624,1.3384778976440437,21,0.7716575667971652,0-200
244,17.467267441860464,17.697441,-0.2301748374451038,1.8346380476618922,1.1967594146728526,172,0.2301748374451038,0-200
246,13.3509748659165,13.364713,-0.013737626434287655,1.4994910305001932,1.1372205734252923,9509,0.013737626434287655,5000+
249,12.564178863248632,12.515086,0.04909195353722161,1.1958104634342774,0.8800170898437507,11137,0.04909195353722161,5000+
261,18.25303489439853,18.411566,-0.15853095170223355,1.5612732149287032,1.1799371719360359,2178,0.15853095170223355,1000-5000
262,12.146296958855098,12.184826,-0.0385298538142391,1.2274999872559085,0.8746841430664061,7267,0.0385298538142391,5000+
263,11.239164872202977,11.239758,-0.0005930752205542876,1.0655388633991245,0.7668933868408203,10681,0.0005930752205542876,5000+
